data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,180809,13.68,84.23,0.5,1.5,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180847,13.68,84.35,0.25,0,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180926,13.7,84.35,0.75,0,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181005,13.65,84.45,0.5,0,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181044,13.67,84.38,1.75,1.5,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181122,13.63,84.43,0.75,1,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181202,13.63,84.55,0.75,0,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181241,13.6,84.68,1,1.5,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181320,13.65,84.78,0.25,0,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181359,13.6,84.85,0.25,0,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181438,13.63,84.95,1.5,1,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181516,13.63,84.88,0.5,0,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181555,13.6,84.95,0.5,1,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181633,13.63,85.3,1.25,0.5,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181712,13.6,85.15,0.5,0.5,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181751,13.58,85.15,0.75,0.25,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181830,13.6,85.13,1.25,1,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181908,13.6,85.13,1.25,0.75,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,181947,13.63,85.3,0.5,0.25,1.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182025,13.65,85.05,0.25,0,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182025,13.6,85.05,1.25,1.25,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182144,13.65,84.97,0.5,1.75,6.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182224,13.65,84.85,2.25,1.75,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182303,13.6,85,0.25,0,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182303,13.6,85.2,1,0.25,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182303,13.63,85.3,0.75,0.5,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182503,13.67,85.57,0.5,0.5,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182542,13.6,85.47,0.75,0.75,6.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182619,13.63,85.43,1.25,1,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182619,13.6,85.3,0.75,1.25,6,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.55,84.97,0.5,0.5,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.55,84.97,0.25,0,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.6,84.6,0.75,0.25,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.58,84.13,1,0.5,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.55,83.8,0.75,0.5,5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,182819,13.52,83.83,2,2.5,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183521,13.52,83.85,1.25,0.25,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183602,13.55,84.05,0.25,0.25,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183602,13.52,84.1,0.75,0.75,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183719,13.55,84.18,1,0.5,4.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183759,13.55,84.13,0.5,0,5.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183838,13.55,84.13,0.25,0,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183838,13.52,83.8,1,0.75,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,183958,13.55,83.78,1.75,2,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184038,13.58,83.68,2,2,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184110,13.52,83.53,0.75,1,5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184110,13.58,83.35,0.75,0.5,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184236,13.52,83.43,0.75,0.5,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184315,13.58,83.53,1,0.75,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184315,13.5,83.53,0.5,0.5,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184315,13.6,83.5,0.5,0.25,5,5558.8769,N,310.7331,W,55.98128167,-3.178885
